,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),cpu_max_all,cpu_max_avg_all,neti_total_mb,neto_total_mb,n,algo,tps_param,cpu_limit,delay,rate_limit,r_idx
1,query,1000,0,395.9,0.02,0.0,0.0,395.6,18.56,272.64,3.588,3.588,8,ibft,400,2.50,0,10,6
2,transfer,1000,0,401.0,3.22,1.77,2.55,202.8,112.96,36.91,40.83,40.83,8,ibft,400,2.50,0,10,6
0,open,1000,0,394.3,3.01,1.46,2.2,247.8,117.92,41.13,36.980000000000004,36.980000000000004,8,ibft,400,2.50,0,10,7
1,query,1000,0,394.8,0.02,0.0,0.0,394.5,12.36,273.6,3.681,3.681,8,ibft,400,2.50,0,10,7
2,transfer,1000,0,401.9,3.19,1.48,2.24,248.4,124.05,47.13,38.72,38.72,8,ibft,400,2.50,0,10,7
0,open,1000,0,396.5,3.31,1.38,2.29,249.1,117.39,39.71,37.36,37.36,8,ibft,400,2.50,0,10,3
1,query,1000,0,397.6,0.02,0.0,0.0,396.0,10.86,286.08,3.621,3.621,8,ibft,400,2.50,0,10,3
2,transfer,1000,0,401.1,3.47,1.5,2.43,240.3,109.08,37.79,40.0,40.0,8,ibft,400,2.50,0,10,3
0,open,1000,0,394.5,2.95,1.31,2.11,254.8,123.67,44.14,37.07,37.07,8,ibft,400,2.50,0,10,4
1,query,1000,0,397.9,0.02,0.0,0.0,397.6,11.73,268.79999999999995,3.673,3.673,8,ibft,400,2.50,0,10,4
2,transfer,1000,0,401.3,3.29,1.5,2.28,246.7,120.07,46.72,38.959999999999994,38.959999999999994,8,ibft,400,2.50,0,10,4
0,open,1000,0,386.7,3.4,1.46,2.36,244.8,115.33,27.08,39.34,39.34,8,ibft,400,2.5,0,10,10
1,query,1000,0,398.2,0.02,0.0,0.0,397.9,283.20000000000005,242.88,3.196,3.196,8,ibft,400,2.5,0,10,10
2,transfer,1000,0,399.5,3.59,1.57,2.67,205.2,116.73,34.93,42.73,42.73,8,ibft,400,2.5,0,10,10
0,open,1000,0,398.2,10.67,6.49,8.28,92.9,132.92,60.18,172.05,172.05,16,ibft,400,2.50,0,10,1
1,query,1000,0,398.9,0.07,0.0,0.01,398.6,24.46,18.48,20.4,20.4,16,ibft,400,2.50,0,10,1
2,transfer,1000,0,401.9,10.87,6.36,8.73,91.4,132.47,54.84,181.01999999999998,181.01999999999998,16,ibft,400,2.50,0,10,1
0,open,1000,0,390.6,10.3,6.64,8.4,93.6,132.84,47.49,176.97000000000003,176.97000000000003,16,ibft,400,2.5,0,10,9
1,query,1000,0,398.4,0.05,0.0,0.01,395.4,32.13,19.86,17.840000000000003,17.840000000000003,16,ibft,400,2.5,0,10,9
2,transfer,1000,0,401.1,10.68,7.0,8.96,90.5,149.35,44.36,189.29999999999998,189.29999999999998,16,ibft,400,2.5,0,10,9
0,open,1000,0,392.2,9.84,5.69,7.67,100.7,136.61,51.19,166.92,166.92,16,ibft,400,2.50,0,10,8
1,query,1000,0,398.7,0.1,0.0,0.01,386.2,26.4,17.75,20.67,20.67,16,ibft,400,2.50,0,10,8
2,transfer,1000,0,398.4,10.97,6.51,8.72,90.0,142.2,57.78,187.3,187.3,16,ibft,400,2.50,0,10,8
0,open,1000,0,395.3,9.48,5.5,7.47,104.0,131.29,52.61,167.94,167.94,16,ibft,400,2.50,0,10,5
1,query,1000,0,398.7,0.07,0.0,0.01,398.4,24.03,18.76,20.35,20.35,16,ibft,400,2.50,0,10,5
2,transfer,1000,0,401.4,10.03,5.94,7.65,97.2,138.73,54.04,178.25,178.25,16,ibft,400,2.50,0,10,5
0,open,1000,0,396.8,10.24,6.24,8.06,96.5,126.24,57.89,169.2,169.2,16,ibft,400,2.50,0,10,2
1,query,1000,0,397.6,0.06,0.0,0.01,397.3,24.37,18.36,20.18,20.18,16,ibft,400,2.50,0,10,2
2,transfer,1000,0,401.8,10.33,6.01,8.11,96.3,119.86,50.01,177.46,177.46,16,ibft,400,2.50,0,10,2
0,open,1000,0,395.1,9.19,5.25,7.45,107.5,135.26,52.21,167.54000000000002,167.54000000000002,16,ibft,400,2.50,0,10,6
1,query,1000,0,388.2,0.06,0.0,0.01,387.9,34.75,19.66,22.879999999999995,22.879999999999995,16,ibft,400,2.50,0,10,6
2,transfer,1000,0,400.3,10.64,5.38,8.53,91.3,117.72,55.26,187.1,187.1,16,ibft,400,2.50,0,10,6
0,open,1000,0,399.0,9.44,5.42,7.38,105.2,130.48,52.86,166.32999999999998,166.32999999999998,16,ibft,400,2.50,0,10,7
1,query,1000,0,400.5,0.06,0.0,0.01,400.2,29.44,18.56,20.32,20.32,16,ibft,400,2.50,0,10,7
2,transfer,1000,0,391.8,10.89,6.5,8.87,91.2,134.53,57.41,188.16000000000003,188.16000000000003,16,ibft,400,2.50,0,10,7
0,open,1000,0,395.1,9.54,5.5,7.57,103.7,126.96,50.44,166.57,166.57,16,ibft,400,2.50,0,10,3
1,query,1000,0,397.8,0.06,0.0,0.01,397.6,27.59,18.74,20.52,20.52,16,ibft,400,2.50,0,10,3
2,transfer,1000,0,401.8,10.56,6.77,8.84,92.4,139.34,64.14,182.04999999999998,182.04999999999998,16,ibft,400,2.50,0,10,3
0,open,1000,0,385.2,9.18,5.62,7.43,105.3,133.66,56.09,169.05,169.05,16,ibft,400,2.50,0,10,4
1,query,1000,0,398.1,0.06,0.0,0.01,397.3,23.17,17.88,20.39,20.39,16,ibft,400,2.50,0,10,4
2,transfer,1000,0,393.1,10.74,6.69,8.88,92.1,158.46,64.69,182.18999999999997,182.18999999999997,16,ibft,400,2.50,0,10,4
0,open,1000,0,392.9,10.35,6.35,8.14,95.8,138.37,44.73,174.51,174.51,16,ibft,400,2.5,0,10,10
1,query,1000,0,392.5,0.05,0.0,0.0,392.2,20.04,16.47,17.91,17.91,16,ibft,400,2.5,0,10,10
2,transfer,1000,0,400.6,10.73,6.88,8.94,89.8,145.08,46.43,189.0,189.0,16,ibft,400,2.5,0,10,10
0,open,1000,0,397.5,3.05,1.31,2.07,254.3,109.96,32.99,35.96,35.96,8,qbft,400,2.50,0,10,1
1,query,1000,0,399.4,0.02,0.0,0.0,399.0,13.1,280.32,2.688,2.688,8,qbft,400,2.50,0,10,1
2,transfer,1000,0,400.5,3.48,1.38,2.33,251.8,112.41,38.61,37.58,37.58,8,qbft,400,2.50,0,10,1
0,open,1000,0,397.3,3.28,1.46,2.33,248.5,110.45,25.43,38.050000000000004,38.050000000000004,8,qbft,400,2.5,0,10,9
1,query,1000,0,397.1,0.02,0.0,0.0,396.8,266.88,250.56,2.811,2.811,8,qbft,400,2.5,0,10,9
2,transfer,1000,0,401.1,3.53,1.62,2.66,209.4,130.99,35.44,41.709999999999994,41.709999999999994,8,qbft,400,2.5,0,10,9
0,open,1000,0,398.1,2.94,1.36,2.12,255.0,115.46,32.51,36.209999999999994,36.209999999999994,8,qbft,400,2.50,0,10,8
1,query,1000,0,399.2,0.03,0.0,0.0,398.9,12.54,286.56,3.417,3.417,8,qbft,400,2.50,0,10,8
2,transfer,1000,0,401.4,3.43,1.52,2.49,203.0,106.53,28.99,38.739999999999995,38.739999999999995,8,qbft,400,2.50,0,10,8
0,open,1000,0,394.3,2.91,1.35,2.08,252.0,115.29,35.41,35.980000000000004,35.980000000000004,8,qbft,400,2.50,0,10,5
1,query,1000,0,395.4,0.03,0.0,0.0,394.9,23.22,288.0,3.456,3.456,8,qbft,400,2.50,0,10,5
2,transfer,1000,0,393.7,3.53,1.63,2.64,202.2,115.63,35.71,39.73,39.73,8,qbft,400,2.50,0,10,5
0,open,1000,0,400.2,2.96,1.39,2.12,253.1,109.05,38.26,35.83,35.83,8,qbft,400,2.50,0,10,2
1,query,1000,0,392.3,0.02,0.0,0.0,391.8,12.86,284.64,3.472,3.472,8,qbft,400,2.50,0,10,2
2,transfer,1000,0,397.5,3.23,1.34,2.2,251.6,110.16,38.07,37.540000000000006,37.540000000000006,8,qbft,400,2.50,0,10,2
0,open,1000,0,396.7,3.79,1.96,2.8,166.4,109.33,24.96,39.1,39.1,8,qbft,400,2.50,0,10,6
1,query,1000,0,397.1,0.05,0.0,0.01,396.7,27.44,14.01,3.052,3.052,8,qbft,400,2.50,0,10,6
2,transfer,1000,0,401.4,3.25,1.32,2.26,251.5,97.24,39.95,37.150000000000006,37.150000000000006,8,qbft,400,2.50,0,10,6
0,open,1000,0,398.1,2.98,1.37,2.12,255.3,109.86,35.72,36.17,36.17,8,qbft,400,2.50,0,10,7
1,query,1000,0,396.4,0.02,0.0,0.0,395.9,11.05,285.6,2.708,2.708,8,qbft,400,2.50,0,10,7
2,transfer,1000,0,398.4,3.5,1.49,2.59,203.3,112.45,29.68,39.42,39.42,8,qbft,400,2.50,0,10,7
0,open,1000,0,389.6,3.01,1.4,2.37,200.8,99.61,30.31,37.129999999999995,37.129999999999995,8,qbft,400,2.50,0,10,3
1,query,1000,0,399.8,0.03,0.0,0.01,399.5,11.11,7.1,2.8,2.8,8,qbft,400,2.50,0,10,3
2,transfer,1000,0,399.7,3.13,1.62,2.47,204.2,116.99,36.73,39.46,39.46,8,qbft,400,2.50,0,10,3
0,open,1000,0,399.7,2.89,1.33,2.04,256.5,108.95,33.24,35.8,35.8,8,qbft,400,2.50,0,10,4
1,query,1000,0,394.9,0.02,0.0,0.01,394.5,14.1,278.4,2.7199999999999998,2.7199999999999998,8,qbft,400,2.50,0,10,4
2,transfer,1000,0,395.7,3.8,1.46,2.86,202.0,112.09,31.62,40.47,40.47,8,qbft,400,2.50,0,10,4
0,open,1000,0,400.8,3.38,1.35,2.37,247.6,111.79,25.89,38.559999999999995,38.559999999999995,8,qbft,400,2.5,0,10,10
1,query,1000,0,396.2,0.01,0.0,0.0,395.9,276.0,254.88,2.8369999999999997,2.8369999999999997,8,qbft,400,2.5,0,10,10
2,transfer,1000,0,400.2,3.79,1.51,2.67,206.1,126.24,34.51,42.22,42.22,8,qbft,400,2.5,0,10,10
0,open,1000,0,399.8,5.34,2.67,3.99,185.7,109.97,49.69,18.669999999999998,18.669999999999998,4,bhs,400,2.50,0,10,1
1,query,1000,0,399.2,0.01,0.0,0.0,399.0,20.54,12.96,0.386,0.386,4,bhs,400,2.50,0,10,1
2,transfer,1000,0,401.3,2.69,1.38,1.98,250.4,138.86,49.74,15.350000000000001,15.350000000000001,4,bhs,400,2.50,0,10,1
0,open,1000,0,399.7,2.67,1.22,1.85,252.3,100.18,23.32,13.84,13.84,4,bhs,400,2.5,0,10,9
1,query,1000,0,401.1,0.01,0.0,0.0,400.8,267.84000000000003,245.28000000000003,0.3508,0.3508,4,bhs,400,2.5,0,10,9
2,transfer,1000,0,401.1,2.98,1.24,2.08,254.4,110.86,28.31,16.79,16.79,4,bhs,400,2.5,0,10,9
0,open,1000,0,398.7,5.29,2.6,3.95,187.7,111.39,47.49,18.94,18.94,4,bhs,400,2.50,0,10,8
1,query,1000,0,398.7,0.01,0.0,0.0,398.4,19.27,12.95,0.386,0.386,4,bhs,400,2.50,0,10,8
