,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),cpu_max_all,cpu_max_avg_all,neti_total_mb,neto_total_mb,n,algo,tps_param,cpu_limit,delay,rate_limit,r_idx
0,open,1000,0,394.5,2.53,0.85,1.71,246.7,155.62,42.49,137.81,137.81,16,qbft,400,2.50,0,0,6
1,query,1000,0,397.0,0.04,0.0,0.0,396.8,19.99,14.28,16.628,16.628,16,qbft,400,2.50,0,0,6
2,transfer,1000,0,402.3,2.37,0.87,1.69,257.2,157.28,43.9,149.23000000000002,149.23000000000002,16,qbft,400,2.50,0,0,6
0,open,1000,0,399.5,2.54,0.93,1.71,252.0,156.13,42.77,141.18,141.18,16,qbft,400,2.50,0,0,7
1,query,1000,0,399.8,0.04,0.0,0.0,399.5,19.26,14.33,16.992,16.992,16,qbft,400,2.50,0,0,7
2,transfer,1000,0,402.3,2.3,1.06,1.71,254.2,157.7,46.88,152.68,152.68,16,qbft,400,2.50,0,0,7
0,open,1000,0,401.0,2.32,0.9,1.68,256.1,157.84,44.45,144.29000000000002,144.29000000000002,16,qbft,400,2.50,0,0,3
1,query,1000,0,398.2,0.03,0.0,0.0,396.2,19.47,14.07,17.012999999999998,17.012999999999998,16,qbft,400,2.50,0,0,3
2,transfer,1000,0,402.1,2.32,0.94,1.65,261.1,157.53,44.57,148.73,148.73,16,qbft,400,2.50,0,0,3
0,open,1000,0,397.6,2.34,0.84,1.68,252.5,157.11,41.74,140.79000000000002,140.79000000000002,16,qbft,400,2.50,0,0,4
1,query,1000,0,399.7,0.04,0.0,0.0,399.4,19.99,13.98,16.758,16.758,16,qbft,400,2.50,0,0,4
2,transfer,1000,0,401.1,2.33,0.95,1.66,259.1,155.87,44.79,151.51,151.51,16,qbft,400,2.50,0,0,4
0,open,1000,0,398.2,2.39,0.86,1.69,252.0,149.93,40.75,136.76,136.76,16,qbft,400,2.50,0,0,10
1,query,1000,0,398.4,0.05,0.0,0.0,398.1,18.09,13.84,16.740000000000002,16.740000000000002,16,qbft,400,2.50,0,0,10
2,transfer,1000,0,401.3,2.28,1.0,1.67,256.6,167.33,48.47,148.31,148.31,16,qbft,400,2.50,0,0,10
0,open,1000,0,401.3,2.75,1.03,1.75,251.3,117.48,43.78,13.260000000000002,13.260000000000002,4,bhs,400,2.50,0,0,1
1,query,1000,0,400.2,0.01,0.0,0.0,400.0,18.76,8.86,0.36440000000000006,0.36440000000000006,4,bhs,400,2.50,0,0,1
2,transfer,1000,0,401.1,2.31,0.96,1.7,248.6,117.26,39.51,15.399999999999999,15.399999999999999,4,bhs,400,2.50,0,0,1
0,open,1000,0,400.5,2.33,1.01,1.67,255.9,134.51,40.48,13.26,13.26,4,bhs,400,2.50,0,0,9
1,query,1000,0,400.0,0.01,0.0,0.0,399.7,17.05,8.49,0.36230000000000007,0.36230000000000007,4,bhs,400,2.50,0,0,9
2,transfer,1000,0,401.0,2.31,1.06,1.69,253.4,129.57,48.35,15.47,15.47,4,bhs,400,2.50,0,0,9
0,open,1000,0,400.8,2.47,0.93,1.64,242.6,133.92,34.89,15.59,15.59,4,bhs,400,2.50,0,0,8
1,query,1000,0,400.5,0.01,0.0,0.0,400.2,18.54,8.32,0.37649999999999995,0.37649999999999995,4,bhs,400,2.50,0,0,8
2,transfer,1000,0,401.3,2.29,0.98,1.7,248.3,119.96,41.09,15.44,15.44,4,bhs,400,2.50,0,0,8
0,open,1000,0,401.4,2.39,0.91,1.56,234.1,141.17,35.3,14.700000000000001,14.700000000000001,4,bhs,400,2.50,0,0,5
1,query,1000,0,400.5,0.01,0.0,0.0,400.2,20.81,8.74,0.36819999999999997,0.36819999999999997,4,bhs,400,2.50,0,0,5
2,transfer,1000,0,400.6,2.39,0.96,1.71,244.9,122.1,39.68,15.41,15.41,4,bhs,400,2.50,0,0,5
0,open,1000,0,400.6,2.33,0.92,1.66,237.4,112.63,34.82,13.27,13.27,4,bhs,400,2.50,0,0,2
1,query,1000,0,399.5,0.01,0.0,0.0,399.2,16.06,10.38,0.3731,0.3731,4,bhs,400,2.50,0,0,2
2,transfer,1000,0,401.4,2.31,1.04,1.7,248.1,116.58,38.86,15.11,15.11,4,bhs,400,2.50,0,0,2
0,open,1000,0,399.0,2.97,1.03,1.75,239.0,121.65,40.33,13.23,13.23,4,bhs,400,2.50,0,0,6
1,query,1000,0,399.4,0.01,0.0,0.0,399.0,20.58,8.83,0.36710000000000004,0.36710000000000004,4,bhs,400,2.50,0,0,6
2,transfer,1000,0,401.4,2.38,0.95,1.71,246.2,116.08,39.36,15.21,15.21,4,bhs,400,2.50,0,0,6
0,open,1000,0,401.3,2.33,0.98,1.67,238.4,116.65,34.78,15.11,15.11,4,bhs,400,2.50,0,0,7
1,query,1000,0,401.1,0.01,0.0,0.0,400.8,18.67,8.32,0.3747,0.3747,4,bhs,400,2.50,0,0,7
2,transfer,1000,0,401.0,2.31,1.02,1.7,249.6,119.37,41.1,15.65,15.65,4,bhs,400,2.50,0,0,7
0,open,1000,0,395.7,2.77,1.04,1.75,241.4,105.81,35.12,12.99,12.99,4,bhs,400,2.50,0,0,3
1,query,1000,0,400.2,0.01,0.0,0.0,399.8,17.88,8.66,0.3659,0.3659,4,bhs,400,2.50,0,0,3
2,transfer,1000,0,401.0,2.29,1.03,1.69,250.2,118.83,45.34,15.560000000000002,15.560000000000002,4,bhs,400,2.50,0,0,3
0,open,1000,0,398.1,3.9,1.06,2.51,240.8,201.37,56.85,16.2,16.2,4,bhs,400,2.50,0,0,4
1,query,1000,0,399.5,0.01,0.0,0.0,399.2,24.12,13.79,0.3611,0.3611,4,bhs,400,2.50,0,0,4
2,transfer,1000,0,401.3,2.32,0.95,1.7,247.6,114.04,47.03,15.06,15.06,4,bhs,400,2.50,0,0,4
0,open,1000,0,400.3,2.32,1.06,1.68,252.8,121.21,44.82,15.26,15.26,4,bhs,400,2.50,0,0,10
1,query,1000,0,400.6,0.01,0.0,0.0,400.3,18.14,11.29,0.3698,0.3698,4,bhs,400,2.50,0,0,10
2,transfer,1000,0,401.3,2.29,0.97,1.69,249.8,118.73,40.48,15.27,15.27,4,bhs,400,2.50,0,0,10
0,open,1000,0,394.0,2.22,1.08,1.66,250.3,171.07,44.81,105.77000000000001,105.77000000000001,12,ibft,400,2.50,0,0,1
1,query,1000,0,399.7,0.03,0.0,0.0,399.4,19.49,12.81,9.993,9.993,12,ibft,400,2.50,0,0,1
2,transfer,1000,0,402.3,2.28,0.91,1.63,259.1,172.88,45.56,111.19000000000001,111.19000000000001,12,ibft,400,2.50,0,0,1
0,open,1000,0,397.5,2.18,0.93,1.63,253.1,170.85,41.84,107.13999999999999,107.13999999999999,12,ibft,400,2.50,0,0,9
1,query,1000,0,395.4,0.04,0.0,0.0,395.1,24.72,12.68,9.984,9.984,12,ibft,400,2.50,0,0,9
2,transfer,1000,0,401.9,2.27,1.07,1.68,253.6,169.29,48.48,109.99999999999999,109.99999999999999,12,ibft,400,2.50,0,0,9
0,open,1000,0,397.8,2.36,0.96,1.69,241.2,165.99,43.47,107.44000000000001,107.44000000000001,12,ibft,400,2.50,0,0,8
1,query,1000,0,394.0,0.03,0.0,0.0,393.7,21.47,12.05,9.711,9.711,12,ibft,400,2.50,0,0,8
