,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),cpu_max_all,cpu_max_avg_all,neti_total_mb,neto_total_mb,n,algo,tps_param,cpu_limit,delay,rate_limit,r_idx
0,open,1000,0,398.9,7.27,4.68,6.0,136.1,125.76,38.26,98.39,98.39,16,bhs,400,2.50,0,10,7
1,query,1000,0,397.6,0.02,0.0,0.0,397.3,27.12,13.75,2.2625,2.2625,16,bhs,400,2.50,0,10,7
2,transfer,1000,0,401.0,7.83,5.2,6.49,127.4,127.4,46.38,106.86,106.86,16,bhs,400,2.50,0,10,7
0,open,1000,0,398.7,7.38,4.8,6.1,134.9,128.58,39.63,96.39999999999999,96.39999999999999,16,bhs,400,2.50,0,10,3
1,query,1000,0,399.2,0.01,0.0,0.0,399.0,31.32,14.69,2.2720000000000002,2.2720000000000002,16,bhs,400,2.50,0,10,3
2,transfer,1000,0,400.2,7.75,5.15,6.43,127.1,126.09,42.31,106.97999999999999,106.97999999999999,16,bhs,400,2.50,0,10,3
0,open,1000,0,385.5,7.37,4.78,6.12,134.0,130.33,39.31,98.73,98.73,16,bhs,400,2.50,0,10,4
1,query,1000,0,398.7,0.02,0.0,0.0,398.4,26.91,13.84,2.252,2.252,16,bhs,400,2.50,0,10,4
2,transfer,1000,0,402.4,7.86,5.26,6.56,126.5,126.29,49.21,107.61000000000001,107.61000000000001,16,bhs,400,2.50,0,10,4
0,open,1000,0,297.9,7.99,4.6,6.32,124.1,140.85,64.52,110.86000000000001,110.86000000000001,16,bhs,300,2.50,0,10,1
1,query,1000,0,298.2,0.01,0.0,0.0,298.0,27.5,12.77,2.522,2.522,16,bhs,300,2.50,0,10,1
2,transfer,1000,0,299.4,9.09,5.63,7.32,109.8,140.58,46.23,122.51,122.51,16,bhs,300,2.50,0,10,1
0,open,1000,0,292.3,5.72,3.22,4.57,149.3,141.38,50.34,103.35,103.35,16,bhs,300,2.50,0,10,9
1,query,1000,0,299.4,0.01,0.0,0.0,299.0,21.43,13.01,2.469,2.469,16,bhs,300,2.50,0,10,9
2,transfer,1000,0,298.7,8.51,5.08,6.81,117.1,134.37,50.36,122.50999999999999,122.50999999999999,16,bhs,300,2.50,0,10,9
0,open,1000,0,297.0,6.62,3.23,4.94,143.2,133.48,45.93,103.37,103.37,16,bhs,300,2.50,0,10,8
1,query,1000,0,294.8,0.03,0.0,0.0,294.6,21.63,11.53,2.508,2.508,16,bhs,300,2.50,0,10,8
2,transfer,1000,0,301.7,8.64,5.2,6.9,114.9,135.52,48.04,121.12,121.12,16,bhs,300,2.50,0,10,8
0,open,1000,0,297.7,8.26,4.82,6.54,120.3,130.18,56.6,111.09,111.09,16,bhs,300,2.50,0,10,5
1,query,1000,0,299.1,0.02,0.0,0.0,299.0,28.92,12.63,2.609,2.609,16,bhs,300,2.50,0,10,5
2,transfer,1000,0,301.5,9.13,5.72,7.42,109.2,135.85,46.11,122.39000000000001,122.39000000000001,16,bhs,300,2.50,0,10,5
0,open,1000,0,295.0,7.72,4.29,6.04,127.8,149.93,63.23,108.6,108.6,16,bhs,300,2.50,0,10,2
1,query,1000,0,297.5,0.02,0.0,0.0,297.4,26.62,11.76,2.484,2.484,16,bhs,300,2.50,0,10,2
2,transfer,1000,0,299.6,9.1,5.68,7.38,109.6,132.18,45.72,121.91,121.91,16,bhs,300,2.50,0,10,2
0,open,1000,0,298.1,8.05,4.63,6.36,123.4,135.76,66.18,110.02000000000001,110.02000000000001,16,bhs,300,2.50,0,10,6
1,query,1000,0,298.3,0.02,0.0,0.0,298.2,21.96,11.78,2.468,2.468,16,bhs,300,2.50,0,10,6
2,transfer,1000,0,301.6,9.06,5.66,7.37,109.9,140.97,47.86,122.0,122.0,16,bhs,300,2.50,0,10,6
0,open,1000,0,294.1,8.22,4.75,6.5,121.1,134.53,57.8,110.97,110.97,16,bhs,300,2.50,0,10,7
1,query,1000,0,297.9,0.02,0.0,0.0,297.7,21.37,11.53,2.487,2.487,16,bhs,300,2.50,0,10,7
2,transfer,1000,0,301.6,9.12,5.59,7.3,109.6,142.89,45.84,122.03999999999999,122.03999999999999,16,bhs,300,2.50,0,10,7
0,open,1000,0,298.5,8.37,4.97,6.66,118.9,138.99,53.96,110.57,110.57,16,bhs,300,2.50,0,10,3
1,query,1000,0,299.4,0.02,0.0,0.0,299.2,25.46,12.13,2.489,2.489,16,bhs,300,2.50,0,10,3
2,transfer,1000,0,300.8,8.26,4.87,6.56,119.9,138.87,56.06,119.98,119.98,16,bhs,300,2.50,0,10,3
0,open,1000,0,298.8,8.02,4.6,6.3,124.3,139.21,65.33,110.0,110.0,16,bhs,300,2.50,0,10,4
1,query,1000,0,298.2,0.05,0.0,0.0,298.1,25.19,11.88,2.461,2.461,16,bhs,300,2.50,0,10,4
2,transfer,1000,0,299.3,8.08,4.68,6.4,122.6,142.0,67.27,119.52,119.52,16,bhs,300,2.50,0,10,4
0,open,1000,0,298.0,8.27,4.87,6.58,120.0,133.07,54.21,111.43,111.43,16,bhs,300,2.50,0,10,10
1,query,1000,0,298.9,0.02,0.0,0.0,298.7,28.47,12.72,2.508,2.508,16,bhs,300,2.50,0,10,10
2,transfer,1000,0,299.7,9.02,5.62,7.32,110.2,135.65,47.15,122.49000000000001,122.49000000000001,16,bhs,300,2.50,0,10,10
0,open,1000,0,100.4,2.95,0.82,1.87,92.6,113.37,60.07,195.9,195.9,16,bhs,100,2.50,0,10,1
1,query,1000,0,100.5,0.02,0.0,0.0,100.5,30.16,11.06,3.943,3.943,16,bhs,100,2.50,0,10,1
2,transfer,1000,0,100.7,4.29,1.07,2.25,87.6,120.78,57.49,197.10000000000002,197.10000000000002,16,bhs,100,2.50,0,10,1
0,open,1000,0,100.2,5.11,1.03,2.61,90.7,117.64,61.66,197.9,197.9,16,bhs,100,2.50,0,10,9
1,query,1000,0,100.2,0.03,0.0,0.0,100.2,27.58,10.88,4.048,4.048,16,bhs,100,2.50,0,10,9
2,transfer,1000,0,100.5,7.19,1.59,3.63,84.5,113.06,63.5,202.4,202.4,16,bhs,100,2.50,0,10,9
0,open,1000,0,99.7,5.07,1.2,2.88,89.1,118.0,60.79,198.9,198.9,16,bhs,100,2.50,0,10,8
1,query,1000,0,100.3,0.02,0.0,0.0,100.3,24.4,10.94,3.939,3.939,16,bhs,100,2.50,0,10,8
2,transfer,1000,0,100.8,5.09,1.4,2.9,88.0,108.99,57.12,198.9,198.9,16,bhs,100,2.50,0,10,8
0,open,1000,0,100.2,5.6,1.45,2.87,86.8,125.47,61.98,198.8,198.8,16,bhs,100,2.50,0,10,5
1,query,1000,0,100.6,0.02,0.0,0.0,100.6,21.56,10.44,3.843,3.843,16,bhs,100,2.50,0,10,5
2,transfer,1000,0,100.6,7.69,1.56,3.8,86.7,114.7,61.1,201.4,201.4,16,bhs,100,2.50,0,10,5
0,open,1000,0,100.5,3.08,0.79,1.86,93.0,116.35,58.25,195.09999999999997,195.09999999999997,16,bhs,100,2.50,0,10,2
1,query,1000,0,100.4,0.01,0.0,0.0,100.3,26.65,11.7,3.917,3.917,16,bhs,100,2.50,0,10,2
2,transfer,1000,0,100.6,5.37,1.14,2.63,88.5,118.28,58.06,198.40000000000003,198.40000000000003,16,bhs,100,2.50,0,10,2
0,open,1000,0,98.9,3.87,0.92,2.28,88.3,114.43,61.0,197.9,197.9,16,bhs,100,2.50,0,10,6
1,query,1000,0,100.5,0.01,0.0,0.0,100.5,22.06,10.48,3.9139999999999997,3.9139999999999997,16,bhs,100,2.50,0,10,6
2,transfer,1000,0,100.8,4.89,0.98,2.39,91.5,113.13,56.03,197.8,197.8,16,bhs,100,2.50,0,10,6
0,open,1000,0,99.8,4.59,1.34,2.49,87.8,118.25,62.42,198.9,198.9,16,bhs,100,2.50,0,10,7
1,query,1000,0,99.9,0.04,0.0,0.0,99.9,21.39,10.46,3.885,3.885,16,bhs,100,2.50,0,10,7
2,transfer,1000,0,100.3,6.96,1.65,4.03,84.4,112.55,60.56,202.10000000000002,202.10000000000002,16,bhs,100,2.50,0,10,7
0,open,1000,0,100.1,3.83,0.99,2.29,91.0,114.93,61.89,197.2,197.2,16,bhs,100,2.50,0,10,3
1,query,1000,0,100.6,0.01,0.0,0.0,100.6,27.1,11.21,4.095000000000001,4.095000000000001,16,bhs,100,2.50,0,10,3
2,transfer,1000,0,100.5,5.31,1.02,2.69,91.0,116.09,57.36,197.8,197.8,16,bhs,100,2.50,0,10,3
0,open,1000,0,100.3,2.99,0.68,1.84,93.8,124.38,60.56,195.7,195.7,16,bhs,100,2.50,0,10,4
1,query,1000,0,100.6,0.02,0.0,0.0,100.5,32.23,11.9,3.934,3.934,16,bhs,100,2.50,0,10,4
2,transfer,1000,0,100.7,4.99,1.29,2.71,85.9,114.17,58.96,198.2,198.2,16,bhs,100,2.50,0,10,4
0,open,1000,0,100.1,2.98,0.64,1.87,94.0,119.51,60.62,195.8,195.8,16,bhs,100,2.50,0,10,10
1,query,1000,0,100.3,0.01,0.0,0.0,100.2,35.56,12.16,3.9689999999999994,3.9689999999999994,16,bhs,100,2.50,0,10,10
2,transfer,1000,0,100.7,5.27,1.13,2.96,89.9,111.69,56.57,199.1,199.1,16,bhs,100,2.50,0,10,10
0,open,1000,0,398.2,10.67,6.49,8.28,92.9,132.92,60.18,172.05,172.05,16,ibft,400,2.50,0,10,1
1,query,1000,0,398.9,0.07,0.0,0.01,398.6,24.46,18.48,20.4,20.4,16,ibft,400,2.50,0,10,1
2,transfer,1000,0,401.9,10.87,6.36,8.73,91.4,132.47,54.84,181.01999999999998,181.01999999999998,16,ibft,400,2.50,0,10,1
0,open,1000,0,392.2,9.84,5.69,7.67,100.7,136.61,51.19,166.92,166.92,16,ibft,400,2.50,0,10,8
1,query,1000,0,398.7,0.1,0.0,0.01,386.2,26.4,17.75,20.67,20.67,16,ibft,400,2.50,0,10,8
2,transfer,1000,0,398.4,10.97,6.51,8.72,90.0,142.2,57.78,187.3,187.3,16,ibft,400,2.50,0,10,8
0,open,1000,0,395.3,9.48,5.5,7.47,104.0,131.29,52.61,167.94,167.94,16,ibft,400,2.50,0,10,5
1,query,1000,0,398.7,0.07,0.0,0.01,398.4,24.03,18.76,20.35,20.35,16,ibft,400,2.50,0,10,5
2,transfer,1000,0,401.4,10.03,5.94,7.65,97.2,138.73,54.04,178.25,178.25,16,ibft,400,2.50,0,10,5
0,open,1000,0,396.8,10.24,6.24,8.06,96.5,126.24,57.89,169.2,169.2,16,ibft,400,2.50,0,10,2
1,query,1000,0,397.6,0.06,0.0,0.01,397.3,24.37,18.36,20.18,20.18,16,ibft,400,2.50,0,10,2
2,transfer,1000,0,401.8,10.33,6.01,8.11,96.3,119.86,50.01,177.46,177.46,16,ibft,400,2.50,0,10,2
0,open,1000,0,395.1,9.19,5.25,7.45,107.5,135.26,52.21,167.54000000000002,167.54000000000002,16,ibft,400,2.50,0,10,6
1,query,1000,0,388.2,0.06,0.0,0.01,387.9,34.75,19.66,22.879999999999995,22.879999999999995,16,ibft,400,2.50,0,10,6
2,transfer,1000,0,400.3,10.64,5.38,8.53,91.3,117.72,55.26,187.1,187.1,16,ibft,400,2.50,0,10,6
0,open,1000,0,399.0,9.44,5.42,7.38,105.2,130.48,52.86,166.32999999999998,166.32999999999998,16,ibft,400,2.50,0,10,7
1,query,1000,0,400.5,0.06,0.0,0.01,400.2,29.44,18.56,20.32,20.32,16,ibft,400,2.50,0,10,7
2,transfer,1000,0,391.8,10.89,6.5,8.87,91.2,134.53,57.41,188.16000000000003,188.16000000000003,16,ibft,400,2.50,0,10,7
0,open,1000,0,395.1,9.54,5.5,7.57,103.7,126.96,50.44,166.57,166.57,16,ibft,400,2.50,0,10,3
1,query,1000,0,397.8,0.06,0.0,0.01,397.6,27.59,18.74,20.52,20.52,16,ibft,400,2.50,0,10,3
2,transfer,1000,0,401.8,10.56,6.77,8.84,92.4,139.34,64.14,182.04999999999998,182.04999999999998,16,ibft,400,2.50,0,10,3
0,open,1000,0,385.2,9.18,5.62,7.43,105.3,133.66,56.09,169.05,169.05,16,ibft,400,2.50,0,10,4
1,query,1000,0,398.1,0.06,0.0,0.01,397.3,23.17,17.88,20.39,20.39,16,ibft,400,2.50,0,10,4
2,transfer,1000,0,393.1,10.74,6.69,8.88,92.1,158.46,64.69,182.18999999999997,182.18999999999997,16,ibft,400,2.50,0,10,4
0,open,1000,0,299.5,8.23,5.12,6.47,108.3,142.06,57.62,165.1,165.1,16,qbft,300,2.50,0,10,1
1,query,1000,0,300.0,0.05,0.0,0.0,299.9,19.91,16.41,18.93,18.93,16,qbft,300,2.50,0,10,1
2,transfer,1000,0,301.3,10.13,5.21,7.56,91.9,148.22,47.41,181.56,181.56,16,qbft,300,2.50,0,10,1
0,open,1000,0,298.0,8.87,4.14,6.49,103.0,149.5,61.89,161.4,161.4,16,qbft,300,2.50,0,10,9
1,query,1000,0,299.0,0.05,0.0,0.0,298.9,22.44,15.84,16.707,16.707,16,qbft,300,2.50,0,10,9
2,transfer,1000,0,301.2,10.66,5.59,7.96,90.5,135.61,54.61,179.04,179.04,16,qbft,300,2.50,0,10,9
0,open,1000,0,299.0,8.27,5.17,6.49,109.3,153.48,58.76,164.76999999999998,164.76999999999998,16,qbft,300,2.50,0,10,8
1,query,1000,0,299.0,0.04,0.0,0.0,298.8,20.31,17.08,18.92,18.92,16,qbft,300,2.50,0,10,8
2,transfer,1000,0,301.9,9.67,4.83,7.37,94.3,140.75,47.56,181.32999999999998,181.32999999999998,16,qbft,300,2.50,0,10,8
0,open,1000,0,300.2,9.58,4.8,7.08,100.6,124.98,57.55,165.76999999999998,165.76999999999998,16,qbft,300,2.50,0,10,5
1,query,1000,0,299.2,0.05,0.0,0.0,299.0,29.76,18.22,18.31,18.31,16,qbft,300,2.50,0,10,5
2,transfer,1000,0,301.4,10.14,5.06,7.61,92.3,139.63,50.88,183.1,183.1,16,qbft,300,2.50,0,10,5
0,open,1000,0,296.7,8.4,4.98,6.54,105.7,152.99,57.16,166.29,166.29,16,qbft,300,2.50,0,10,2
1,query,1000,0,300.8,0.04,0.0,0.0,300.7,27.54,17.43,16.84,16.84,16,qbft,300,2.50,0,10,2
2,transfer,1000,0,301.2,10.27,4.93,7.84,93.0,134.2,50.44,182.89999999999998,182.89999999999998,16,qbft,300,2.50,0,10,2
0,open,1000,0,297.6,8.73,4.78,6.53,104.3,129.64,54.14,161.13,161.13,16,qbft,300,2.50,0,10,6
1,query,1000,0,300.3,0.05,0.0,0.0,300.1,16.78,15.19,16.95,16.95,16,qbft,300,2.50,0,10,6
2,transfer,1000,0,301.1,11.17,5.88,8.31,87.2,133.09,51.87,181.69,181.69,16,qbft,300,2.50,0,10,6
0,open,1000,0,300.4,7.81,4.88,6.31,110.0,133.25,52.35,161.18,161.18,16,qbft,300,2.50,0,10,7
1,query,1000,0,299.9,0.05,0.0,0.0,298.2,17.89,15.12,17.0,17.0,16,qbft,300,2.50,0,10,7
2,transfer,1000,0,301.4,10.77,5.69,8.19,90.7,136.03,52.3,179.28,179.28,16,qbft,300,2.50,0,10,7
0,open,1000,0,299.9,9.06,4.99,6.75,103.1,135.75,55.57,160.1,160.1,16,qbft,300,2.50,0,10,3
1,query,1000,0,299.6,0.04,0.0,0.0,299.3,31.35,18.81,16.790000000000003,16.790000000000003,16,qbft,300,2.50,0,10,3
2,transfer,1000,0,301.2,10.97,5.77,8.49,89.0,143.23,56.83,184.63,184.63,16,qbft,300,2.50,0,10,3
0,open,1000,0,300.1,8.28,5.05,6.46,107.3,131.62,53.91,165.86,165.86,16,qbft,300,2.50,0,10,4
1,query,1000,0,299.0,0.05,0.0,0.0,298.9,29.25,17.8,18.28,18.28,16,qbft,300,2.50,0,10,4
2,transfer,1000,0,301.0,9.88,5.39,7.49,93.0,133.44,45.49,181.56,181.56,16,qbft,300,2.50,0,10,4
0,open,1000,0,300.0,8.79,4.93,6.72,102.6,131.78,57.29,162.88,162.88,16,qbft,300,2.50,0,10,10
1,query,1000,0,299.2,0.04,0.0,0.0,299.0,29.44,18.14,16.86,16.86,16,qbft,300,2.50,0,10,10
2,transfer,1000,0,301.9,10.85,5.53,8.39,88.4,145.69,52.84,182.2,182.2,16,qbft,300,2.50,0,10,10
0,open,1000,0,100.0,3.1,0.95,2.03,87.2,114.51,62.32,212.9,212.9,16,qbft,100,2.50,0,10,1
1,query,1000,0,100.6,0.05,0.0,0.0,100.5,27.75,16.66,29.05,29.05,16,qbft,100,2.50,0,10,1
2,transfer,1000,0,100.7,2.92,1.05,2.02,87.8,97.61,55.52,214.4,214.4,16,qbft,100,2.50,0,10,1
0,open,1000,0,99.7,2.93,0.98,2.01,86.5,105.72,59.92,211.20000000000002,211.20000000000002,16,qbft,100,2.50,0,10,9
