,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),cpu_max_all,cpu_max_avg_all,neti_total_mb,neto_total_mb,n,algo,tps_param,cpu_limit,delay,rate_limit,r_idx
0,open,1000,0,398.2,2.54,0.99,1.81,253.5,157.74,46.43,133.18,133.18,16,ibft,400,2.50,0,40,1
1,query,1000,0,398.1,0.05,0.0,0.0,394.2,22.11,16.93,23.25,23.25,16,ibft,400,2.50,0,40,1
2,transfer,1000,0,398.9,2.47,1.23,1.82,253.9,160.08,50.15,143.68,143.68,16,ibft,400,2.50,0,40,1
0,open,1000,0,396.4,2.42,1.13,1.83,248.2,151.41,42.7,137.34000000000003,137.34000000000003,16,ibft,400,2.50,0,40,9
1,query,1000,0,397.1,0.06,0.0,0.0,395.7,23.01,17.41,23.07,23.07,16,ibft,400,2.50,0,40,9
2,transfer,1000,0,401.6,2.55,1.04,1.8,258.5,153.01,46.45,142.2,142.2,16,ibft,400,2.50,0,40,9
0,open,1000,0,399.7,2.49,1.05,1.81,254.5,153.11,45.13,135.86,135.86,16,ibft,400,2.50,0,40,8
1,query,1000,0,398.9,0.05,0.0,0.0,398.6,23.08,17.1,21.92,21.92,16,ibft,400,2.50,0,40,8
2,transfer,1000,0,401.8,2.59,1.12,1.76,262.1,156.95,46.82,146.23999999999998,146.23999999999998,16,ibft,400,2.50,0,40,8
0,open,1000,0,398.2,2.48,1.25,1.79,260.4,145.21,44.63,135.43,135.43,16,ibft,400,2.50,0,40,5
1,query,1000,0,397.1,0.04,0.0,0.0,396.8,26.36,17.01,23.21,23.21,16,ibft,400,2.50,0,40,5
2,transfer,1000,0,396.8,2.54,0.99,1.75,263.4,152.53,47.21,144.61,144.61,16,ibft,400,2.50,0,40,5
0,open,1000,0,395.7,2.5,1.16,1.81,251.2,153.67,44.59,135.2,135.2,16,ibft,400,2.50,0,40,2
1,query,1000,0,394.3,0.05,0.0,0.0,392.9,23.58,18.17,22.79,22.79,16,ibft,400,2.50,0,40,2
2,transfer,1000,0,401.8,2.56,1.14,1.8,256.7,152.66,47.37,142.35000000000002,142.35000000000002,16,ibft,400,2.50,0,40,2
0,open,1000,0,397.0,2.45,0.89,1.82,246.7,151.69,44.77,132.44,132.44,16,ibft,400,2.50,0,40,6
1,query,1000,0,393.1,0.05,0.0,0.0,392.8,23.42,17.13,23.36,23.36,16,ibft,400,2.50,0,40,6
2,transfer,1000,0,401.9,2.56,1.19,1.81,255.7,155.43,47.96,142.62,142.62,16,ibft,400,2.50,0,40,6
0,open,1000,0,397.8,2.44,1.07,1.82,250.6,152.23,44.04,130.56,130.56,16,ibft,400,2.50,0,40,7
1,query,1000,0,399.8,0.04,0.0,0.0,399.5,22.8,17.92,23.46,23.46,16,ibft,400,2.50,0,40,7
2,transfer,1000,0,401.3,2.5,1.15,1.77,257.1,154.75,49.5,143.82999999999998,143.82999999999998,16,ibft,400,2.50,0,40,7
0,open,1000,0,398.6,2.52,1.15,1.85,249.0,149.44,43.69,136.04000000000002,136.04000000000002,16,ibft,400,2.50,0,40,3
1,query,1000,0,395.1,0.05,0.0,0.0,394.6,23.71,18.24,23.25,23.25,16,ibft,400,2.50,0,40,3
2,transfer,1000,0,401.8,2.58,1.29,1.85,256.0,156.58,50.17,147.15,147.15,16,ibft,400,2.50,0,40,3
0,open,1000,0,398.1,3.62,1.4,2.41,232.0,160.62,58.32,135.36,135.36,16,ibft,400,2.50,0,40,4
1,query,1000,0,397.3,0.06,0.0,0.0,397.0,24.82,19.39,25.54,25.54,16,ibft,400,2.50,0,40,4
2,transfer,1000,0,397.0,2.71,1.01,1.86,241.4,153.01,49.2,145.9,145.9,16,ibft,400,2.50,0,40,4
0,open,1000,0,398.6,2.56,1.17,1.77,265.9,155.48,50.78,138.05,138.05,16,ibft,400,2.50,0,40,10
1,query,1000,0,395.9,0.04,0.0,0.0,395.6,25.34,19.06,23.490000000000002,23.490000000000002,16,ibft,400,2.50,0,40,10
2,transfer,1000,0,401.8,2.44,1.25,1.79,262.1,155.6,51.47,146.82,146.82,16,ibft,400,2.50,0,40,10
0,open,1000,0,395.7,6.45,3.85,5.16,153.1,132.13,55.03,93.02000000000001,93.02000000000001,16,bhs,400,2.50,0,10,1
1,query,1000,0,388.2,0.03,0.0,0.0,387.9,30.65,14.78,2.354,2.354,16,bhs,400,2.50,0,10,1
2,transfer,1000,0,397.8,15.66,13.06,14.36,63.8,132.64,29.13,110.07000000000001,110.07000000000001,16,bhs,400,2.50,0,10,1
0,open,1000,0,399.8,7.32,4.68,6.01,136.0,129.41,39.7,98.56,98.56,16,bhs,400,2.50,0,10,9
1,query,1000,0,392.3,0.03,0.0,0.0,392.0,27.2,14.44,2.348,2.348,16,bhs,400,2.50,0,10,9
2,transfer,1000,0,391.8,8.67,6.05,7.38,114.7,122.82,51.26,113.51999999999998,113.51999999999998,16,bhs,400,2.50,0,10,9
0,open,1000,0,395.7,6.47,3.87,5.14,154.2,133.08,59.48,92.72,92.72,16,bhs,400,2.50,0,10,8
1,query,1000,0,392.6,0.03,0.0,0.0,392.2,29.53,14.03,2.321,2.321,16,bhs,400,2.50,0,10,8
2,transfer,1000,0,401.8,7.66,5.05,6.35,130.2,132.36,45.53,106.28999999999999,106.28999999999999,16,bhs,400,2.50,0,10,8
0,open,1000,0,391.5,6.65,3.82,5.26,133.8,149.72,47.57,95.03,95.03,16,bhs,400,2.50,0,10,5
1,query,1000,0,396.7,0.02,0.0,0.0,396.4,29.07,14.14,2.3254,2.3254,16,bhs,400,2.50,0,10,5
2,transfer,1000,0,392.9,8.45,5.84,7.14,117.9,129.93,60.04,110.17,110.17,16,bhs,400,2.50,0,10,5
0,open,1000,0,396.5,7.34,4.69,6.03,135.7,129.18,38.91,94.36,94.36,16,bhs,400,2.50,0,10,2
1,query,1000,0,393.1,0.03,0.0,0.0,392.8,31.3,15.4,2.242,2.242,16,bhs,400,2.50,0,10,2
2,transfer,1000,0,394.3,7.92,5.29,6.62,125.0,124.86,47.11,107.68,107.68,16,bhs,400,2.50,0,10,2
0,open,1000,0,390.9,7.36,4.69,6.04,135.2,128.15,41.11,97.55,97.55,16,bhs,400,2.50,0,10,6
1,query,1000,0,392.9,0.02,0.0,0.0,392.5,28.59,13.9,2.3468999999999998,2.3468999999999998,16,bhs,400,2.50,0,10,6
2,transfer,1000,0,400.2,8.94,6.31,7.62,111.7,133.48,45.36,112.05000000000001,112.05000000000001,16,bhs,400,2.50,0,10,6
0,open,1000,0,394.2,7.24,4.67,5.96,137.4,130.38,38.31,98.43,98.43,16,bhs,400,2.50,0,10,7
1,query,1000,0,389.3,0.04,0.0,0.0,389.0,26.9,14.0,2.3238000000000003,2.3238000000000003,16,bhs,400,2.50,0,10,7
2,transfer,1000,0,395.9,7.79,5.18,6.48,127.5,123.86,48.45,107.03999999999999,107.03999999999999,16,bhs,400,2.50,0,10,7
0,open,1000,0,394.2,7.45,4.86,6.18,133.2,131.18,39.26,93.74000000000001,93.74000000000001,16,bhs,400,2.50,0,10,3
1,query,1000,0,392.3,0.02,0.0,0.0,392.0,26.73,14.18,2.3,2.3,16,bhs,400,2.50,0,10,3
2,transfer,1000,0,397.3,7.81,5.26,6.54,127.1,126.41,44.24,106.32,106.32,16,bhs,400,2.50,0,10,3
0,open,1000,0,394.8,7.46,4.85,6.17,133.2,139.26,39.69,96.36000000000001,96.36000000000001,16,bhs,400,2.50,0,10,4
1,query,1000,0,393.9,0.02,0.0,0.0,393.5,25.98,14.7,2.323,2.323,16,bhs,400,2.50,0,10,4
2,transfer,1000,0,401.3,7.86,5.26,6.56,126.6,127.87,52.01,107.60000000000001,107.60000000000001,16,bhs,400,2.50,0,10,4
0,open,1000,0,388.2,7.35,4.7,6.07,134.9,129.75,39.71,98.09,98.09,16,bhs,400,2.50,0,10,10
1,query,1000,0,387.1,0.04,0.0,0.0,386.8,29.71,14.08,2.317,2.317,16,bhs,400,2.50,0,10,10
2,transfer,1000,0,396.8,8.77,6.21,7.5,113.3,126.96,47.58,110.05,110.05,16,bhs,400,2.50,0,10,10
0,open,1000,0,397.9,2.46,1.14,1.77,256.5,156.24,45.27,131.58,131.58,16,ibft,400,2.50,0,50,1
1,query,1000,0,399.7,0.04,0.0,0.0,398.9,22.94,17.25,22.96,22.96,16,ibft,400,2.50,0,50,1
2,transfer,1000,0,401.8,2.48,0.9,1.74,257.7,160.23,49.53,142.26,142.26,16,ibft,400,2.50,0,50,1
0,open,1000,0,394.2,2.47,0.89,1.77,252.1,153.52,46.56,135.67000000000002,135.67000000000002,16,ibft,400,2.50,0,50,9
1,query,1000,0,399.8,0.03,0.0,0.0,396.8,24.59,16.87,23.19,23.19,16,ibft,400,2.50,0,50,9
2,transfer,1000,0,400.8,2.48,0.93,1.75,257.5,158.12,48.07,141.41,141.41,16,ibft,400,2.50,0,50,9
